name,area,address,tel,lat,lon,level,shindan,monowasure,zaitaku,supportdoc,source
京都府立医科大学附属病院,京都・乙訓,京都府京都市上京区河原町通広小路上る梶井町465,075-251-5566,35.0227,135.7686,専門,True,True,False,False,京都府認知症疾患医療センター
医療法人三幸会 北山病院,京都・乙訓,京都府京都市左京区岩倉上蔵町123,075-706-5515,35.0648,135.7931,専門,True,True,False,False,京都府認知症疾患医療センター
京都府立医科大学附属北部医療センター,丹後,京都府与謝郡与謝野町字男山481,0772-46-4701,35.4986,135.1356,専門,True,True,False,False,京都府認知症疾患医療センター
国立病院機構 舞鶴医療センター,中丹,京都府舞鶴市字行永2410,0773-62-1710,35.4715,135.4030,専門,True,True,False,False,京都府認知症疾患医療センター
京都中部総合医療センター,南丹,京都府南丹市八木町八木上野25,0771-42-2510,35.0299,135.5634,専門,True,True,False,False,京都府認知症疾患医療センター
一般財団法人療道協会 西山病院,京都・乙訓,京都府長岡京市浄土谷宮ノ平1,075-955-2229,34.9165,135.6635,専門,True,True,False,False,京都府認知症疾患医療センター
京都府立洛南病院,山城北,京都府宇治市五ヶ庄西浦41-1,0774-32-5960,34.9180,135.8060,専門,True,True,False,False,京都府認知症疾患医療センター
医療法人栄仁会 宇治おうばく病院,山城北,京都府宇治市五ヶ庄新開14-13,0774-32-8226,34.9135,135.8095,専門,True,True,False,False,京都府認知症疾患医療センター
京都山城総合医療センター,山城南,京都府木津川市木津駅前1-27,0774-72-6363,34.7375,135.8205,専門,True,True,False,False,京都府認知症疾患医療センター
